id,question_bn,question_en,question_banglish,tier1_class,topic,strictness_label,short_explanation_bn,short_explanation_en,reference_text,reference_source,source_type,verification_status,search_keywords
11,"নামাজের সময় অজু করা কি ফরজ?","Is performing wudu obligatory for prayer?","namajer somoy oju kora ki foroj",Obligatory,Purity,"Fard (definitive)","নামাজের জন্য অজু ফরজ।","Wudu is a prerequisite and obligatory for valid prayer.","O you who have believed, when you rise to [perform] prayer, wash your faces...","Quran 5:6","Quran",verified,"ojun,wudu,ablution,foroj,namaj"
12,"গোসল করা কখন ফরজ?","When is ghusl obligatory?","gosol kora kokhon foroj",Obligatory,Purity,"Fard (definitive)","বীর্যপাত, সহবাস বা ঋতুস্রাবের পর গোসল ফরজ।","Ghusl is obligatory after sexual discharge, intercourse, or end of menstruation.","And if you are in a state of janabah, then purify yourselves","Quran 5:6","Quran",verified,"ghusl,gosol,full bath,janabat"
13,"মদ্যপান করা কি হারাম?","Is drinking alcohol forbidden?","moddopan kora ki haram",Forbidden,Food_and_Drink,"Haram (definitive)","মদ ও সকল নেশাজাতীয় দ্রব্য হারাম।","Alcohol and intoxicants are forbidden.","O you who have believed, indeed, intoxicants... are but defilement from the work of Satan, so avoid it","Quran 5:90","Quran",verified,"alcohol,khamr,mod,sharab,haram"
14,"মিথ্যা বলা কি হারাম?","Is lying forbidden?","mithya bola ki haram",Forbidden,Social_Conduct,"Haram (major sin)","মিথ্যা বলা হারাম এবং বড় গুনাহ।","Lying is forbidden and a major sin.","SEE_REFERENCE_SOURCE","Sahih collections on truthfulness","Sahih_Bukhari",NEEDS_VERIFICATION,"lying,mithya,falsehood,haram"
15,"গিবত করা কি হারাম?","Is backbiting forbidden?","gibat kora ki haram",Forbidden,Social_Conduct,"Haram (major sin)","অনুপস্থিত ব্যক্তির দোষ বলা গিবত এবং হারাম।","Backbiting is strictly forbidden.","And do not spy or backbite each other. Would one of you like to eat the flesh of his brother when dead?","Quran 49:12","Quran",verified,"gibat,backbiting,gossip,haram"
16,"পিতামাতার সাথে সদ্ব্যবহার করা কি ফরজ?","Is kindness to parents obligatory?","pitamatar sathe sodbyabohar kora ki foroj",Obligatory,Family_and_Marriage,"Fard / Wajib","পিতামাতার সাথে সদ্ব্যবহার করা অত্যন্ত জরুরি ও ফরজের কাছাকাছি।","Dutifulness to parents is highly emphasized and obligatory in essence.","And We have enjoined upon man [care] for his parents","Quran 31:14","Quran",verified,"parents,baba ma,birr al-walidayn,kindness"
17,"পর্দা করা কি ফরজ?","Is hijab/covering obligatory for women?","porda kora ki foroj",Obligatory,Clothing_and_Adornment,"Fard (definitive for free adult women)","মুসলিম নারীর জন্য পর্দা/হিজাব ফরজ।","Covering the awrah (including headscarf for women) is obligatory.","And tell the believing women to... draw their veils over their bosoms","Quran 24:31","Quran",verified,"hijab,porda,veil,covering,khimar"
18,"মৃত ব্যক্তির জন্য জানাজা নামাজ পড়া কি ফরজ কিফায়া?","Is the funeral prayer obligatory (fard kifayah)?","mrito byaktir jonno janaja namaj pora ki foroj kifaya",Obligatory,Funeral_and_Mourning,"Fard Kifayah","জানাজা নামাজ ফরজ কিফায়া — কিছু লোক আদায় করলে সবার দায়িত্ব পালিত হয়।","The funeral prayer is a communal obligation.","SEE_REFERENCE_SOURCE","Sahih collections on Janaiz","Sahih_Bukhari",NEEDS_VERIFICATION,"janaza,funeral prayer,salat al-janazah"
19,"কসম ভাঙা কি হারাম?","Is breaking an oath forbidden?","kosam bhanga ki haram",Forbidden,Oaths_and_Vows,"Haram (with expiation required)","কসম ভাঙা হারাম এবং কাফফারা দিতে হয়।","Breaking a solemn oath is forbidden and requires expiation.","SEE_REFERENCE_SOURCE","Quran 5:89","Quran",NEEDS_VERIFICATION,"oath,qasam,yamin,vow"
20,"তাহাজ্জুদ নামাজ পড়া কি মুস্তাহাব?","Is Tahajjud prayer recommended?","tahajjud namaj pora ki mustahab",Recommended,Worship,"Sunnah / Mustahabb","তাহাজ্জুদ নফল নামাজ এবং অত্যন্ত ফজিলতপূর্ণ।","Tahajjud is a highly recommended voluntary prayer.","SEE_REFERENCE_SOURCE","Quran 17:79 and related hadiths","Quran",NEEDS_VERIFICATION,"tahajjud,night prayer,nawafil"
21,"দুপুরের নামাজের আগে সুন্নত পড়া কি মুয়াক্কাদা?","Are the sunnah before Zuhr emphasized?","dupurer namajer age sunnat pora ki muakkada",Recommended,Worship,"Sunnah Mu'akkadah","জোহরের আগের চার রাকাত সুন্নত মুয়াক্কাদা।","The four rak'ahs before Zuhr are emphasized sunnah.","SEE_REFERENCE_SOURCE","Hadith collections on regular sunnah prayers","Sahih_Bukhari",NEEDS_VERIFICATION,"sunnah muakkadah,zuhr sunnah"
22,"পানি পান করা কি জায়েজ?","Is drinking water permissible?","pani pan kora ki jayez",Permissible,Food_and_Drink,"Mubah (permissible)","পানি পান করা সম্পূর্ণ জায়েজ এবং প্রয়োজনীয়।","Drinking water is completely permissible and necessary.","SEE_REFERENCE_SOURCE","General principle of permissibility","Fiqh_Hanafi",verified,"pani,water,drink,jayez,mubah"
23,"ঘুমানো কি জায়েজ?","Is sleeping permissible?","ghumano ki jayez",Permissible,Social_Conduct,"Mubah (permissible)","ঘুমানো জায়েজ এবং শরীরের প্রয়োজন।","Sleeping is permissible and a natural need.","SEE_REFERENCE_SOURCE","General principle","Fiqh_Hanafi",verified,"ghum,sleep,nind"
24,"খাবার খাওয়া কি জায়েজ?","Is eating food permissible?","khabar khawa ki jayez",Permissible,Food_and_Drink,"Mubah (permissible)","হালাল খাবার খাওয়া জায়েজ।","Eating lawful food is permissible.","O mankind, eat from whatever is on earth [that is] lawful and good","Quran 2:168","Quran",verified,"khabar,food,khawa,halal"
25,"গাড়ি চালানো কি জায়েজ?","Is driving a car permissible?","gari chalano ki jayez",Permissible,Social_Conduct,"Mubah (permissible)","গাড়ি চালানো সম্পূর্ণ জায়েজ যদি কোনো হারাম কাজে ব্যবহার না হয়।","Driving a car is permissible as long as not used for haram purposes.","SEE_REFERENCE_SOURCE","General principle of permissibility","Fiqh_Hanafi",verified,"gari,car,driving,vehicle"
26,"মা-বাবাকে ডাকা কি জায়েজ?","Is calling parents (ma/baba) permissible?","ma babake daka ki jayez",Permissible,Family_and_Marriage,"Mubah (permissible)","মা-বাবাকে ডাকা ও সম্মান করা জায়েজ ও উত্তম।","Calling and respecting parents is permissible and virtuous.","SEE_REFERENCE_SOURCE","General","Fiqh_Hanafi",verified,"ma,baba,parents,call"
27,"সোনা-রুপা পরার ব্যাপারে পুরুষের জন্য কি নিয়ম?","What is the ruling on men wearing gold and silk?","sona rupa porar byapare purusher jonno ki niyom",Forbidden,Clothing_and_Adornment,"Haram for men","পুরুষের জন্য সোনা ও রেশম পরার নিষেধাজ্ঞা আছে।","Gold and pure silk are forbidden for men.","These are haram for the males of my ummah and permitted for the females","Sahih Muslim and Abu Dawud collections","Sahih_Muslim",verified,"gold,silk,sona,reshom,men"
28,"নারীর জন্য সোনা পরার কি হুকুম?","Is gold permissible for women?","narir jonno sona porar ki hukum",Permissible,Clothing_and_Adornment,"Mubah / Halal for women","নারীর জন্য সোনা ও রেশম জায়েজ।","Gold and silk are permissible for women.","These are haram for the males of my ummah and permitted for the females","Sahih Muslim and Abu Dawud collections","Sahih_Muslim",verified,"gold,sona,women,jewelry"
29,"বিবাহ করা কি সুন্নত?","Is marriage recommended/sunnah?","bibaho kora ki sunnat",Recommended,Family_and_Marriage,"Sunnah Mu'akkadah (for those able)","বিবাহ করা সুন্নত এবং যৌবনের নিরাপত্তার জন্য উত্তম।","Marriage is a recommended sunnah for those who are able.","SEE_REFERENCE_SOURCE","Hadith: 'O young men, whoever among you is able to marry...'","Sahih_Bukhari",NEEDS_VERIFICATION,"nikah,marriage,bibaho,sunnat"
30,"তালাক দেওয়া কি মাকরুহ?","Is divorce disliked?","talak dewa ki makruh",Disliked,Family_and_Marriage,"Makruh (though permissible)","তালাক বৈধ কিন্তু অপছন্দনীয়।","Divorce is permissible but disliked when avoidable.","SEE_REFERENCE_SOURCE","Hadith literature on the most hated of permissible things","Abu_Dawood",NEEDS_VERIFICATION,"talaq,divorce,talak"
31,"প্রতিবেশীর হক আদায় করা কি ওয়াজিব?","Is fulfilling the rights of neighbors obligatory?","protibeshir hok aday kora ki wajib",Obligatory,Social_Conduct,"Wajib / highly emphasized","প্রতিবেশীর অধিকার আদায় করা অত্যন্ত জরুরি।","Fulfilling the rights of neighbors is strongly emphasized.","SEE_REFERENCE_SOURCE","Hadith: 'Jibril kept recommending the neighbor to me...'","Sahih_Bukhari",NEEDS_VERIFICATION,"neighbor,protibeshi,rights"
32,"শিরক করা কি সবচেয়ে বড় গুনাহ?","Is shirk the greatest sin?","shirk kora ki sobcheye boro gunah",Faith_Violation,Faith_and_Aqidah,"Shirk (unforgivable if not repented)","শিরক সবচেয়ে বড় গুনাহ এবং অক্ষম্য যদি তওবা না করা হয়।","Associating partners with Allah is the greatest sin.","Indeed, Allah does not forgive association with Him, but He forgives what is less than that...","Quran 4:48","Quran",verified,"shirk,polytheism,idolatry"
33,"কবরের উপর ঘর বানানো কি বিদআত?","Is building structures on graves an innovation?","koborer upor ghor banano ki bidaat",Religious_Innovation,Funeral_and_Mourning,"Bid'ah (disliked/forbidden by many)","কবরের উপর স্থাপনা নির্মাণ অনেক উলামার মতে বিদআত।","Building structures over graves is considered an innovation by many scholars.","SEE_REFERENCE_SOURCE","Hadiths prohibiting building over graves","Sahih_Muslim",NEEDS_VERIFICATION,"grave,kobor,structure,bidaat"
34,"মানত মানার কি হুকুম?","What is the ruling on making a vow (nazr)?","manot manar ki hukum",Obligatory,Oaths_and_Vows,"Wajib to fulfill if made","মানত করলে তা পূরণ করা ওয়াজিব।","Fulfilling a vow (nazr) is obligatory once made.","SEE_REFERENCE_SOURCE","Quran 22:29 and related","Quran",NEEDS_VERIFICATION,"nazr,manot,vow,promise"
35,"জুমার নামাজ কি ফরজ?","Is Jumu'ah prayer obligatory?","jumar namaj ki foroj",Obligatory,Worship,"Fard (on free adult males)","জুমার নামাজ স্বাধীন প্রাপ্তবয়স্ক পুরুষদের উপর ফরজ।","The Friday congregational prayer is obligatory upon free adult males.","O you who have believed, when [the adhan] is called for the prayer on the day of Jumu'ah...","Quran 62:9","Quran",verified,"jumuah,jumma,friday prayer"
36,"রোজা অবস্থায় ইচ্ছাকৃতভাবে খাওয়া কি হারাম?","Is deliberately eating while fasting forbidden?","roja obosthay ichhakrito khawa ki haram",Forbidden,Worship,"Haram (invalidates fast + major sin)","রোজা অবস্থায় ইচ্ছাকৃতভাবে খাওয়া-দাওয়া রোজা ভঙ্গ করে এবং গুনাহ।","Deliberately eating or drinking invalidates the fast and is sinful.","SEE_REFERENCE_SOURCE","Hadith collections on fasting","Sahih_Bukhari",NEEDS_VERIFICATION,"roja,fast,eat,break"
37,"হালাল পশু জবাই করা কি শর্ত?","Is proper slaughter required for meat to be halal?","halal poshu jobai kora ki shorto",Obligatory,Food_and_Drink,"Condition for permissibility","হালাল মাংসের জন্য শরিয়তসম্মত জবাই জরুরি।","Proper Islamic slaughter is required for meat to be lawful.","except what you [are able to] slaughter [before its death]","Quran 5:3","Quran",verified,"zabiha,slaughter,halal meat,jobai"
38,"ব্যবসায় প্রতারণা করা কি হারাম?","Is cheating in business forbidden?","byabsay protarona kora ki haram",Forbidden,Business_and_Finance,"Haram (major sin)","ব্যবসায় প্রতারণা ও ওজন কম দেওয়া হারাম।","Cheating and short-changing in trade is forbidden.","Woe to those who give less [than due]","Quran 83:1","Quran",verified,"cheat,protarona,business,trade,haram"
39,"অন্যের সম্পদ চুরি করা কি হারাম?","Is stealing the property of others forbidden?","onner shompotti churi kora ki haram",Forbidden,Social_Conduct,"Haram (major sin + hadd)","চুরি হারাম এবং শরিয়তে শাস্তির বিধান আছে।","Theft is forbidden and carries legal punishment.","[As for] the thief, the male and the female, amputate their hands...","Quran 5:38","Quran",verified,"churi,theft,steal,haram"
40,"ইবাদতে বিদআত উদ্ভাবন করা কি নিষিদ্ধ?","Is innovating in worship forbidden?","ibadote bidaat udvabon kora ki nishiddho",Religious_Innovation,Faith_and_Aqidah,"Bid'ah (rejected)","ধর্মে নতুন উদ্ভাবন (বিদআত) প্রত্যাখ্যাত।","Religious innovation in matters of worship is rejected.","Whoever innovates something in this matter of ours that is not part of it will have it rejected","Sahih al-Bukhari 2697 (and Muslim)","Sahih_Bukhari",verified,"bidaat,innovation,bidah"
41,"জুমার দিন গোসল করা কি মুস্তাহাব?","Is ghusl on Friday recommended?","jumar din gosol kora ki mustahab",Recommended,Purity,"Sunnah Mu'akkadah / Mustahabb","জুমার দিন গোসল করা সুন্নত এবং উত্তম।","Taking a bath on Friday is strongly recommended.","The taking of a bath on Friday is compulsory for every male Muslim who has attained the age of puberty","Sahih al-Bukhari (Friday Prayer chapter)","Sahih_Bukhari",verified,"jumuah ghusl,friday bath"
42,"তায়াম্মুম করা কখন জায়েজ?","When is tayammum permissible?","tayammum kora kokhon jayez",Permissible,Purity,"Permissible substitute","পানি না পেলে বা ব্যবহার করতে অক্ষম হলে তায়াম্মুম জায়েজ।","Tayammum is allowed when water is unavailable or harmful.","And if you find no water, then seek clean earth and wipe over your faces and hands","Quran 5:6","Quran",verified,"tayammum,dry ablution,pani nai"
43,"নারীর জন্য হিজাব না পরা কি হারাম?","Is not wearing hijab forbidden for women?","narir jonno hijab na pora ki haram",Forbidden,Clothing_and_Adornment,"Haram","মুসলিম নারীর জন্য হিজাব না পরা হারাম।","Not covering as required is forbidden for adult Muslim women.","And tell the believing women to... draw their veils over their bosoms","Quran 24:31","Quran",verified,"hijab,porda,not covering"
44,"পুরুষের জন্য রেশম পরা কি হারাম?","Is wearing pure silk forbidden for men?","purusher jonno reshom pora ki haram",Forbidden,Clothing_and_Adornment,"Haram for men","পুরুষের জন্য খাঁটি রেশম পরা হারাম।","Pure silk is forbidden for men.","Silk is only worn in this world by the one who will have no share of the pleasure of the Hereafter","Sahih al-Bukhari and Muslim","Sahih_Bukhari",verified,"silk,reshom,men haram"
45,"জুমার খুতবা শোনা কি ওয়াজিব?","Is listening to the Jumu'ah khutbah obligatory?","jumar khutba shona ki wajib",Obligatory,Worship,"Wajib / part of obligation","জুমার খুতবা শোনা ওয়াজিবের অংশ।","Listening to the Friday sermon is part of the obligation.","when [the adhan] is called for the prayer on the day of Jumu'ah... proceed to the remembrance of Allah","Quran 62:9","Quran",verified,"khutbah,jumuah sermon"
46,"রোজা ভাঙার কাফফারা কি?","What is the expiation for deliberately breaking a fast?","roja bhangar kaffara ki",Obligatory,Worship,"Wajib (expiation)","ইচ্ছাকৃতভাবে রোজা ভাঙলে কাফফারা ওয়াজিব।","Deliberate breaking of a Ramadan fast requires expiation.","SEE_REFERENCE_SOURCE","Hadith collections on kaffarah for fasting","Sahih_Bukhari",NEEDS_VERIFICATION,"kaffarah,roja break,expiation"
47,"হালাল মাংস ছাড়া অন্য মাংস খাওয়া কি হারাম?","Is eating non-halal meat forbidden?","halal mangsho chara onno mangsho khawa ki haram",Forbidden,Food_and_Drink,"Haram","অহালাল মাংস খাওয়া হারাম।","Meat not slaughtered according to Islamic rules is forbidden.","Prohibited to you are dead animals... and that which has been dedicated to other than Allah","Quran 5:3","Quran",verified,"non-halal,haram meat"
48,"ব্যবসায় মিথ্যা বলা কি হারাম?","Is lying in business forbidden?","byabsay mithya bola ki haram",Forbidden,Business_and_Finance,"Haram","ব্যবসায় মিথ্যা বলা ও প্রতারণা হারাম।","Lying and deception in trade is forbidden.","Woe to those who give less [than due]","Quran 83:1","Quran",verified,"business lying,protarona"
49,"অন্যের সম্মান নষ্ট করা কি হারাম?","Is damaging someone's honor forbidden?","onner somman noshto kora ki haram",Forbidden,Social_Conduct,"Haram","অন্যের সম্মানহানি করা হারাম।","Harming a Muslim's honor is forbidden.","Would one of you like to eat the flesh of his brother when dead?","Quran 49:12","Quran",verified,"honor,somman,backbiting related"
50,"শিশুদের সাথে সদ্ব্যবহার করা কি সুন্নত?","Is kindness to children recommended?","shishuder sathe sodbyabohar kora ki sunnat",Recommended,Family_and_Marriage,"Sunnah / Mustahabb","শিশুদের সাথে সদ্ব্যবহার করা সুন্নত ও উত্তম।","Kindness to children is recommended and prophetic practice.","SEE_REFERENCE_SOURCE","Hadith collections on kindness to children","Sahih_Bukhari",NEEDS_VERIFICATION,"children,shishu,kindness"
51,"মৃতের জন্য দোয়া করা কি জায়েজ?","Is praying for the deceased permissible?","mriter jonno doya kora ki jayez",Permissible,Funeral_and_Mourning,"Mustahabb / Permissible","মৃতের জন্য দোয়া ও ইস্তিগফার জায়েজ ও উত্তম।","Supplicating for the deceased is permissible and recommended.","SEE_REFERENCE_SOURCE","Hadith on dua for the dead","Sahih_Muslim",NEEDS_VERIFICATION,"dua for dead,mrit,janaza"
52,"কসম করা কি জায়েজ?","Is making an oath permissible?","kosam kora ki jayez",Permissible,Oaths_and_Vows,"Mubah (but discouraged unnecessarily)","কসম করা জায়েজ তবে অপ্রয়োজনে করা উচিত নয়।","Making an oath is permissible but should not be done unnecessarily.","SEE_REFERENCE_SOURCE","Quran and Hadith on yamin","Quran",NEEDS_VERIFICATION,"oath,qasam"
53,"নফল রোজা রাখা কি মুস্তাহাব?","Is voluntary fasting recommended?","nafl roja rakha ki mustahab",Recommended,Worship,"Mustahabb","নফল রোজা রাখা মুস্তাহাব ও সওয়াবের কাজ।","Voluntary fasting is recommended.","SEE_REFERENCE_SOURCE","Hadith on Monday-Thursday fasting etc.","Sahih_Bukhari",NEEDS_VERIFICATION,"nafl roja,voluntary fast"
54,"অজুর সময় মুখ তিনবার ধোয়া কি সুন্নত?","Is washing the face three times in wudu sunnah?","ojur somoy mukh tinbar dhowa ki sunnat",Recommended,Purity,"Sunnah","অজুতে মুখ, হাত ইত্যাদি তিনবার ধোয়া সুন্নত।","Washing the face and limbs three times is sunnah in wudu.","I saw 'Uthman... washed his face... thrice","Sahih al-Bukhari 159","Sahih_Bukhari",verified,"wudu three times,ojun tinbar"
55,"নারীর জন্য পুরুষের কাপড় পরা কি হারাম?","Is wearing men's clothing forbidden for women?","narir jonno purusher kapor pora ki haram",Forbidden,Clothing_and_Adornment,"Haram","নারীর জন্য পুরুষের পোশাক পরা হারাম।","Women wearing men's clothing (and vice versa) is forbidden.","SEE_REFERENCE_SOURCE","Hadith on imitating the opposite gender","Abu_Dawood",NEEDS_VERIFICATION,"cross dressing,gender clothing"
56,"পুরুষের জন্য নারীর কাপড় পরা কি হারাম?","Is wearing women's clothing forbidden for men?","purusher jonno narir kapor pora ki haram",Forbidden,Clothing_and_Adornment,"Haram","পুরুষের জন্য নারীর পোশাক পরা হারাম।","Men wearing women's clothing is forbidden.","SEE_REFERENCE_SOURCE","Hadith on imitating the opposite gender","Abu_Dawood",NEEDS_VERIFICATION,"cross dressing"
57,"জাকাত অস্বীকার করা কি কুফর?","Is denying Zakat disbelief?","zakat oshikar kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr if denial of obligation","জাকাতের ফরজিয়ত অস্বীকার করা কুফর।","Denying the obligation of Zakat is disbelief.","SEE_REFERENCE_SOURCE","Consensus and related texts","Ijma",NEEDS_VERIFICATION,"zakat denial,kufr"
58,"হাজ্জ অস্বীকার করা কি কুফর?","Is denying Hajj disbelief?","hajj oshikar kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr if denial of obligation","হাজ্জের ফরজিয়ত অস্বীকার করা কুফর।","Denying the obligation of Hajj is disbelief.","SEE_REFERENCE_SOURCE","Consensus","Ijma",NEEDS_VERIFICATION,"hajj denial"
59,"রোজা অস্বীকার করা কি কুফর?","Is denying fasting disbelief?","roja oshikar kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr if denial of obligation","রোজার ফরজিয়ত অস্বীকার করা কুফর।","Denying the obligation of fasting Ramadan is disbelief.","SEE_REFERENCE_SOURCE","Consensus","Ijma",NEEDS_VERIFICATION,"roja denial,kufr"
60,"নামাজ অস্বীকার করা কি কুফর?","Is denying prayer disbelief?","namaj oshikar kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr (definitive)","নামাজের ফরজিয়ত অস্বীকার করা কুফর।","Denying the obligation of the five prayers is disbelief.","SEE_REFERENCE_SOURCE","Consensus of scholars","Ijma",verified,"namaj denial,kufr"
61,"হালাল ব্যবসা করা কি জায়েজ?","Is conducting lawful business permissible?","halal byabsa kora ki jayez",Permissible,Business_and_Finance,"Mubah / Recommended","হালাল ব্যবসা করা জায়েজ ও উত্তম।","Conducting lawful trade is permissible and encouraged.","Allah has permitted trade and forbidden interest","Quran 2:275","Quran",verified,"halal business,trade"
62,"ওজন ঠিক রাখা কি ওয়াজিব?","Is giving full measure obligatory?","ojon thik rakha ki wajib",Obligatory,Business_and_Finance,"Wajib","ওজন ও পরিমাপ ঠিক রাখা ওয়াজিব।","Giving full measure and weight is obligatory.","Woe to those who give less [than due]","Quran 83:1","Quran",verified,"measure,weight,ojon"
63,"প্রতিবেশীর ক্ষতি করা কি হারাম?","Is harming a neighbor forbidden?","protibeshir khoti kora ki haram",Forbidden,Social_Conduct,"Haram","প্রতিবেশীর ক্ষতি করা হারাম।","Harming a neighbor is forbidden.","SEE_REFERENCE_SOURCE","Hadith on neighbor rights","Sahih_Bukhari",NEEDS_VERIFICATION,"neighbor harm"
64,"অতিথির সম্মান করা কি সুন্নত?","Is honoring a guest recommended?","otithir somman kora ki sunnat",Recommended,Social_Conduct,"Sunnah","অতিথির সম্মান করা সুন্নত।","Honoring the guest is a sunnah.","SEE_REFERENCE_SOURCE","Hadith on guest rights","Sahih_Bukhari",NEEDS_VERIFICATION,"guest,otithi"
65,"মৃতের পিছনে কান্না করা কি জায়েজ?","Is crying for the deceased permissible?","mriter pichone kanna kora ki jayez",Permissible,Funeral_and_Mourning,"Mubah (wailing is not)","সাধারণ কান্না জায়েজ, কিন্তু উচ্চস্বরে বিলাপ নিষিদ্ধ।","Ordinary crying is permissible; loud wailing is forbidden.","SEE_REFERENCE_SOURCE","Hadith on mourning","Sahih_Bukhari",NEEDS_VERIFICATION,"crying,kanna,mourning"
66,"কবর জিয়ারত করা কি জায়েজ?","Is visiting graves permissible?","kobor jiarat kora ki jayez",Permissible,Funeral_and_Mourning,"Mustahabb for men","কবর জিয়ারত করা পুরুষদের জন্য জায়েজ ও উত্তম।","Visiting graves is permissible and recommended for men.","SEE_REFERENCE_SOURCE","Hadith permitting grave visits","Sahih_Muslim",NEEDS_VERIFICATION,"grave visit,kobor jiarat"
67,"মানত ভাঙা কি হারাম?","Is breaking a vow forbidden?","manot bhanga ki haram",Forbidden,Oaths_and_Vows,"Haram","মানত ভাঙা হারাম এবং কাফফারা দিতে হয়।","Breaking a vow is forbidden and requires expiation.","SEE_REFERENCE_SOURCE","Quran on fulfilling vows","Quran",NEEDS_VERIFICATION,"nazr break,manot"
68,"নফল নামাজ পড়া কি মুস্তাহাব?","Is voluntary prayer recommended?","nafl namaj pora ki mustahab",Recommended,Worship,"Mustahabb","নফল নামাজ পড়া মুস্তাহাব।","Voluntary prayers are recommended.","SEE_REFERENCE_SOURCE","Hadith on nawafil","Sahih_Bukhari",NEEDS_VERIFICATION,"nafl,voluntary prayer"
